"CROSSTAB TITLE : asian_female"
"STUDY NAME : Fall 2020 NHCS Adult Study 12-month"
"WEIGHT TYPE : Population (000)"
"START FIELD DATE : 11/04/2019"
"END FIELD DATE : 11/30/2020"
"DATE EXECUTED : 03/30/2023"
"SELECTED BASE : STUDY UNIVERSE"
,,"Total",,"MEAT ALTERNATIVES - HH USES?_YES",,"MEAT ALTERNATIVES - HH USES?_NO",,"MEAT ALTERNATIVES - HH USES?_DON'T KNOW/NO ANSWER",
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_18 - 24) ) ","Index",0,**,0,**,0,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_25 - 34) ) ","Sample",3,**,1,**,2,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_25 - 34) ) ","Weighted(000)",25,**,4,**,21,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_25 - 34) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_25 - 34) ) ","Horizontal %",100%,**,16%,**,84%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_25 - 34) ) ","Index",100,**,58,**,118,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_35 - 44) ) ","Sample",7,**,2,**,5,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_35 - 44) ) ","Weighted(000)",35,**,11,**,24,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_35 - 44) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_35 - 44) ) ","Horizontal %",100%,**,31.4%,**,68.6%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_35 - 44) ) ","Index",100,**,113,**,96,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_45 - 54) ) ","Sample",14,**,3,**,11,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_45 - 54) ) ","Weighted(000)",54,**,14,**,40,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_45 - 54) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_45 - 54) ) ","Horizontal %",100%,**,25.9%,**,74.1%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_45 - 54) ) ","Index",100,**,94,**,104,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_55 - 64) ) ","Sample",3,**,0,**,3,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_55 - 64) ) ","Weighted(000)",10,**,0,**,10,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_55 - 64) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_55 - 64) ) ","Horizontal %",100%,**,0%,**,100%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_55 - 64) ) ","Index",100,**,0,**,141,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_65+) ) ","Sample",1,**,0,**,1,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_65+) ) ","Weighted(000)",1,**,0,**,1,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_65+) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_65+) ) ","Horizontal %",100%,**,0%,**,100%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$150,000 - $249,999)  AND  (AGE_65+) ) ","Index",100,**,0,**,141,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_18 - 24) ) ","Sample",0,**,0,**,0,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_18 - 24) ) ","Weighted(000)",0,**,0,**,0,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_18 - 24) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_18 - 24) ) ","Horizontal %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_18 - 24) ) ","Index",0,**,0,**,0,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_25 - 34) ) ","Sample",1,**,0,**,1,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_25 - 34) ) ","Weighted(000)",9,**,0,**,9,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_25 - 34) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_25 - 34) ) ","Horizontal %",100%,**,0%,**,100%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_25 - 34) ) ","Index",100,**,0,**,141,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_35 - 44) ) ","Sample",1,**,0,**,0,**,1,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_35 - 44) ) ","Weighted(000)",0,**,0,**,0,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_35 - 44) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_35 - 44) ) ","Horizontal %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_35 - 44) ) ","Index",0,**,0,**,0,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_45 - 54) ) ","Sample",3,**,0,**,3,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_45 - 54) ) ","Weighted(000)",1,**,0,**,1,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_45 - 54) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_45 - 54) ) ","Horizontal %",100%,**,0%,**,100%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_45 - 54) ) ","Index",100,**,0,**,141,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_55 - 64) ) ","Sample",2,**,0,**,2,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_55 - 64) ) ","Weighted(000)",2,**,0,**,2,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_55 - 64) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_55 - 64) ) ","Horizontal %",100%,**,0%,**,100%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_55 - 64) ) ","Index",100,**,0,**,141,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_65+) ) ","Sample",1,**,0,**,1,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_65+) ) ","Weighted(000)",22,**,0,**,22,**,0,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_65+) ) ","Vertical %",0%,**,0%,**,0%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_65+) ) ","Horizontal %",100%,**,0%,**,100%,**,0%,**
" ( (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC)  AND  (GENDER_FEMALE)  AND  (INDIVIDUAL EMPLOYMENT INCOME_$250,000 OR MORE)  AND  (AGE_65+) ) ","Index",100,**,0,**,141,**,0,**
"*  Indicates a cell count from 31 to 60. Projections may be unstable, use with caution."
"** Indicates a cell count below 31. Projections are likely unstable, use with caution."
ExportId:4455217-7729
© MRI-Simmons, 2023. Proprietary and Confidential.
