"CROSSTAB TITLE : MRI-Simmons_Crosstab"
"STUDY NAME : Fall 2020 NHCS Adult Study 12-month"
"WEIGHT TYPE : Population (000)"
"START FIELD DATE : 11/04/2019"
"END FIELD DATE : 11/30/2020"
"DATE EXECUTED : 04/02/2023"
"SELECTED BASE : STUDY UNIVERSE"
,,"Total",,"MEAT ALTERNATIVES - HH USES?_YES",,"MEAT ALTERNATIVES - HH USES?_NO",
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,88.7%,**,11.3%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,320,**,16,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",4,**,1,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",8,**,6,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",100%,**,75%,**,25%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",100,**,271,**,35,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",31,*,14,**,17,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",198,*,42,**,156,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0.1%,*,0.1%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,*,21.2%,**,78.8%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,*,77,**,111,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",36,*,6,**,30,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",462,*,96,**,366,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0.2%,*,0.1%,**,0.2%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,*,20.8%,**,79.2%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,*,75,**,111,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",12,**,3,**,9,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",97,**,53,**,44,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,54.6%,**,45.4%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,197,**,64,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",2,**,1,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",2,**,0,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,0%,**,100%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,0,**,141,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",22,**,5,**,17,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",193,**,91,**,102,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0.1%,**,0.1%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,47.2%,**,52.8%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,170,**,74,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",36,*,6,**,30,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",462,*,96,**,366,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0.2%,*,0.1%,**,0.2%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,*,20.8%,**,79.2%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,*,75,**,111,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",12,**,3,**,9,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",97,**,53,**,44,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,54.6%,**,45.4%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,197,**,64,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",2,**,1,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",2,**,0,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,0%,**,100%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,0,**,141,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",0,**,0,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",22,**,5,**,17,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",193,**,91,**,102,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0.1%,**,0.1%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,47.2%,**,52.8%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_55 - 64)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,170,**,74,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",33,*,7,**,26,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",402,*,136,**,266,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0.2%,*,0.2%,**,0.2%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,*,33.8%,**,66.2%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,*,122,**,93,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",3,**,2,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",63,**,32,**,31,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,50.8%,**,49.2%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,183,**,69,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",4,**,0,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",22,**,0,**,19,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,0%,**,86.4%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,0,**,121,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",3,**,1,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",8,**,8,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",100%,**,100%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",100,**,361,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",7,**,1,**,5,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",8,**,0,**,7,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,0%,**,87.5%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,0,**,123,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",33,*,7,**,26,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",402,*,136,**,266,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0.2%,*,0.2%,**,0.2%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,*,33.8%,**,66.2%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,*,122,**,93,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",3,**,2,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",63,**,32,**,31,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,50.8%,**,49.2%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,183,**,69,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_$30,000 - $34,999)  AND  (GENDER_MALE)  AND  (AGE_65+)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",4,**,0,**,3,**
