Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Region,State,City,Website,Year Founded,Founders,Logo
Ivy Farm Technologies,U.K.-based company that produces cultivated pork products.,Cultivated,Meat,End product formulation and manufacturing,Ground meat,Pork,,Europe,United Kingdom,,Oxford,https://www.ivy.farm/,2019,"Dr. Russ Tucker, Cathy Ye",FxmVgf-Y_400x400.jpeg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/wZV1BH1MAU99hY07Ew81sw/z902QNujkVCshGf1qpWRTRdn2vcyNxFDR8zw1sMuwfbNDLX6o-uZjzuvYc-L6dV_EtqBHs_quuHZz-z2oOnY87mEhUKVQdVRW5y-IL3Ff5w/VBFGpHb-VnGNhpOPhCC8MNUOrZo0FpN0hsC5itRZFIs)
Libre Foods,Creates whole-cut products grown from fungal mycelium. ,Biomass fermentation,"Meat,Seafood",End product formulation and manufacturing,Whole muscle meat,"Beef/veal,Chicken,Pork,Fish",Fungi,Europe,Spain,,Barcelona,www.librefoods.co,2020,Alan Ramos,Libre-foods-logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/kvXHbMvXIo-DHhPO-_iaeQ/Qwfynk36d-RYP7JYsxQ1AszAiCxANKEQdORVB_-1dApU-yxSv5d78Jz8kK_cWr9VS1lYjRyMN6lP4LHuUJfmLIil4uQfctknCGPll0vrtSc/ha8iG4bmU14hNJvebJ6jSoAQNb34H4gZiCuvwI4EQ6M)
Frizata,Brazil-based direct-to-consumer online frozen food retailer that carries many meat-free and plant-based options. ,Plant-based,"Meat,Seafood",End product formulation and manufacturing,"Ground meat,Other meat","Chicken,Beef/veal,Pork","Soy,Beetroot ,Wheat,Seeds,Cauliflower,Potato,Pumpkin,Pea,Sunflower,Eggplant,Oat",Latin America,Brazil,,CABA y GBA,https://www.frizata.com/br/,2019,Adolfo Rouillon & Jose Manuel Robledo ,Frizata_EN_Slogan.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/TbCL7dvrBW-h0WPSRsBkng/yMZUmAY9f7ehGAuLGTr5uUBLXZTaSAEce3PsrrZCvsKOQXF5Oq0HQDbnvqH2K-t7bbGOAScq-505jSfrI-CfC1rD6FLOX5HviyuR2U5jAa8/Tn2iX5YvPonTFdOJKbSCYT30gll3NtDWZpjCdRSK2os)
New School Foods,Canadian producer of plant-based seafood. ,Plant-based,Seafood,"Scaffolding and structure,Ingredient optimization,End product formulation and manufacturing",Whole muscle meat,Fish,,U.S. and Canada,Canada,,Toronto,https://www.newschoolfoods.co/,2021,Chris Bryson,NSF Logo.jpeg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/IMKIoIDJZMymICRzi73DYA/5851g0yc-RiCEl8IxK058d7Dvha1cqc63Jy_RSRAgaR8JuplmyGw6URPkufeDd_FFr7FyJ1aQuBGON8FP1jG3gCrfgFgmczLXdBxF6B7y4M/CsiWWMXa86qot5AdQM2Ublk8LdCW13RSHsiHFnmg3B4)
Nichirei Foods Corporation,Frozen Food Top Manufactures in Japan,Plant-based,Meat,End product formulation and manufacturing,Whole muscle meat,Chicken,,Asia Pacific,Japan,,Tokyo,https://www.nichirei.co.jp/english/corpo/outline/group/foods.html,2005,,logo_en.svg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Eh_-2Q8ucOdTtNCSVsG0-w/KYumRWd2fQZvUYflarko58HIAqzmlKf8lqt3ziU8tIhJEt_WxJW6hOX6N-T9uc7ySoFWvzPH0t8liY9V4SlfVQ6pUd6bd4VIWEIhBxcgmBU/qkqbCd9-1VWX_y20sW9FsfnY2B5Cq0prcYNAgXyYL7Y)
Patch Organics Inc.,"US-based company that produces organic plant-based milk alternative products, using nutritious, sustainable pumpkin seeds as a base ingredient.",Plant-based,Dairy,End product formulation and manufacturing,Milk,,"Pumpkin,Pea",U.S. and Canada,United States,New York,Mount Kisco,www.patchmilk.com,2019,"Patricia Trongone, Gil Kernan",Patch Organics Logo Square Clear 07232021.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/YzokR2ifU6RHnzC903KBnA/Hjy-mEykyIvRrKaB7QotxTvqJOSIHPioeKBHGyksHzblPc1lhg9-gEQyFxC74YE9N4ToKzcFSf4RC-9XXvoiDU1jm-lankgobxNymKdCpKThx_MFs09mPCHSfEZvx1ZD/t6yzObkPO4IjKz3EAh4NpgqPtKpLPP4tvTvEoTk-A7I)
Ants Innovate,"Singapore-based deep tech company focusing on developing cultivated whole meat cuts, including pork ",Cultivated,Meat,End product formulation and manufacturing,Whole muscle meat,Pork,,Asia Pacific,Singapore,,Singapore,https://www.antsinnovate.com/,2020,"Shujian On, Hanry Yu",AntsInnovate.jpeg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/qS_2iZg_OtK7mB46XdIc9A/KF9W5R8wnrayJk6Bu2bmmI1fBEGfMzCVNwDGyYrE4v6scaWKWk4EkiKc5LxjJzKQOr8wDSMJo0z2uaz5SnDSTGRVD3-uJPnaWZIfsvpq1oc/VuT55p9FweiF_FmjTqyDvzKdXvCS1kZzZeqRS4AbOyk)
Orbillion Bio,"U.S.-based company producing various cultivated meats, including wagyu beef, elk, sheep and American bison. ",Cultivated,Meat,"Cell line development,Bioprocess design","Ground meat,Whole muscle meat","Other,Beef/veal,Mutton/lamb",,U.S. and Canada,United States,California,Berkeley ,https://www.orbillion.com/,2019,"Patricia Bubner, PhD, Samet Yildirim, MSc, MBS and Gabriel Levesque-Tremblay, PhD",Orbillion Bio.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/QBn4LOdxAOPFzhdpUjTxTg/PtGRWK_kQ0jPzyQGqYPEeuALVGj4M3JAjwCUDuxzVyZ0cdMMVt0_RizlHAjY-EgJ77RYsORwQoYoBky0JWS88L9zzLTIMFAdjH1N8vtt-FM/1BK-L9tW6kgN3IWbGUM8CypQcOK2oCfAIyx8jQvx7iw)
Pristine Pet Food,U.S.-based cultivated pet food company,Cultivated,Other,End product formulation and manufacturing,Pet food,,,U.S. and Canada,United States,California,,https://www.pristinepetfood.com/,2018,Diana Marmorstein,Pristine Pet Food.gif (https://v5.airtableusercontent.com/v1/14/14/1674252000000/0sTjfTfJq3ih8gvgPgVCIg/Ku-0m3YcdwDBWR_FC2iPFcsuvIJKkZkQmxkl-m9Es1heAu5-q972q2Ooq3EPRW03VuTnhyWUE7Xk-NMtlomRXpqEIayLywPVvOevCaeFxnw/Zop7Gwoofo0Mua2pAL0mEE3fazyJ0g9lGUUZmpA9ycM)
GK Foods - Your personal Food Innovation team,"On-Demand Food Innovation team with expertise in Food Design & Manufacturing. We help entrepreneurs discover & implement novel ideas iteratively. Formulating the perfect plant-based ingredients, we are able to help entrepreneurs with variety of food applications. ",Plant-based,"Ingredients and inputs,Meat,Eggs,Dairy,Contract manufacturing/processing",End product formulation and manufacturing,"Ground meat,Other meat,Milk,Cheese,Eggs,Other",,,U.S. and Canada,United States,Illinois,Chicago,www.gkfoods.co,2020,Giovanni Santi,Logo3 copy 2.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/DRP8VogV5K2czXyMzLG-Bw/xyxQ3vCaODirUSWYvWQ5r-2ZuEUF4MLju9uQUTcAAjE0TasXllAO7wGSLEos1Njx2svQuDX2Bj6SPUSv2jEqdAeQR7_46My7c04yuLPCP-k/XZax8DeLUSjNoKv6RTEm2gLUdUN7VcR5pzngzuLzeec)
Evolved Foods,"Evolved Foods is a sustainable food company based out of Bangalore, India, that offers ready-to-cook, versatile, 100% plant-based ingredients to make your everyday cooking nutritious and protein-rich.",Plant-based,Meat,Ingredient optimization,Other meat,Mutton/lamb,"Soy,Yeast",Asia Pacific,India ,,Bangalore,https://www.evolvedfoods.in/,2020,Pradeep Rao & Roma Roychoudhury,Full TM Logo_Web_Evolved.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/p2Yv68Z9pNxoy7Pu1qELPw/aEIqF_f7ptQhwlbZuw-9cxmCc6azde1TTUxUxAPN0gvXbMgEKQ5dBgrE5eW1tEp3JyDfYbLC2P2ELY6BuN4cJZGx8Thh82d_VYU4GmsZvsEA_cDneUtB-riK798zVh97/gFzbCzhF4a6-GaoTHrVtJfHhEKGd4n1S0rHMUl0Bjh4)
Asanté - Exponential Foods Inc,Plant based meat company producing food with Mexican flavor,Plant-based,"Meat,Contract manufacturing/processing,Ingredients and inputs,Seafood",End product formulation and manufacturing,"Whole muscle meat,Ground meat,Other meat","Beef/veal,Pork,Fish","Pea,Mushrooms","U.S. and Canada,Latin America",United States,Florida,Miami,https://www.asantefoods.com/,2019,Ivan Jimenez and Gaby Rivera,Asante.jpeg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/ZPZrL9WwerCQWTDRmHzOTw/jEdhcnuzy_jOgYlHWXXUfPb1NomJzk6z9mk3KtWGKXBviVjUZSWb68cr0PCoXnsSjzdUa1ffBebiL2HXth2nJI8xODajuTZW70dMOqGPUyQ/SX0xc9K08S-xZ28M9L6QYpuyuV_2GffIpWT4SlPxvk8)
Plant Squad,"Mexican company producing healthy plant-based meat, pattys and chicken products with mexican taste. Dairy and egg plant-based products will be available soon.",Plant-based,"Meat,Contract manufacturing/processing,Seafood",End product formulation and manufacturing,"Cheese,Ground meat,Other meat,Eggs","Beef/veal,Pork,Chicken,Fish,Tuna",,Latin America,Mexico,,Mexico City,www.plantsquad.com.mx,2018,"Eloy Fernández, Andoni Fernández",PSQ_Símbolo_OFFWHITE.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/uWHnPJPDtcljzHye975-MQ/VtZh4hxgj0f3QcWPAYWAuN2o_UzIUY1hd2P24vpFMOeZ36Ui1UKzag8JWYOBRFtQKj7I_43PCdSbCxTffNgY87O4GszCCU6ljqqe0FGVp2I/PT64AjjoFRMNLNXcqg8etuptTX1NH9lo-BFFtaWA-U0)
Seed to Surf ,"Canadian based company that produces plant-based seafood.

Seed to Surf is seafood like you've never imagined.
We're recreating the seafood experience with plant-based offerings that are worthy of their own place on the menu. Our dishes aren't a compromise. They're a distinct take on seafood that highlights the provenance of plants, while nodding to familiar flavor profiles from the world's best seafood restaurants.",Plant-based,Other,,,,,U.S. and Canada,Canada,,Toronto ,www.seedtosurf.ca,2020,,logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/GtNaW1LWUlXCCV-1hpzEgg/gRtVbOl1XlyxaTBkZh8HKhoXNHYd-NXFt7KfoOfmFy7HEtgmjQoZzKLTyAnZ-3GQGalICFNo9ImNXXXyZvSXpw/JUNcHA7VReKW7tKvYac6OcUNE0ABFhEAtqQ-n4U2rkU)
Everything Legendary ,Black-owned gourmet plant-nased food manufacturer based in the US; as seen on Shark Tank,Plant-based,Meat,End product formulation and manufacturing,"Ground meat,Whole muscle meat","Beef/veal,Chicken,Pork",Pea,U.S. and Canada,United States,Maryland,,www.GoLegendary.com,2019,"Duane ""Myko"" Cheers",Everything Legendary- Logo- Black.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/RQmWoE8m48bwYECC5RUChA/TtIcP8gb_4hld27VX4g0Y75yVAjvude2M0zJPZKk9_j8UM5rKtclw1Hg1SXwmhkuc0gzJ5oRADQztH-xgOJq77eXxo0jB4bhNBeFML-eZdNQCPxygcQLWSmBTsSZuwND/aeVMOZjEw-HcoUqWpxKPogeRs0QaNAgHN73-KLXDR1Y)
Wakao Foods,Goa-based sustainable food brand that makes products from Jackfruit,Plant-based,Meat,,"Whole muscle meat,Other meat,Other","Beef/veal,Chicken",Jackfruit,Asia Pacific,India ,,"Panjim, Goa",https://wakaofoods.com/,2020,Sairaj Dhond,Wakao-Logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/yATb75NITJtJtzqPWVWVcQ/5Nlvb7FU2Vigmpy5taShMae6WiqCL81SeUUpHmEEAgYK0V-1tBRqRmFwRYXKav4ZX_zDgNkS-g6IP9zBJfgJF58luZ7upfvRFRwPgus2oaM/fWeQbkdWMHalZ-ua9rNE_FXat61EYopIlYB2kmcMp7U)
ANJY MEAT,"Croatia-based company creating meat products that are rare in industrial animal agriculture, piloting with a lion burger.",Cultivated,Meat,End product formulation and manufacturing,Ground meat,Other,,Europe,Croatia,,Zagreb,http://anjymeat.com/,2021,"Davor Debrecin, Anja Eloise Livaić",ANJY MEAT - directory logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/twI6dt1DlVn6dE31sPAchw/F-7SpRts_4f4h3Xs3QzZO57BrzYfA8SJ_9gxqHJd94XJPWEYYSXEFCOvMF6PZ0-84Tu0WSu4zvHZ9KH24MmlFVxH06g7_br6CCmJGX6wMC5W6zkZ06q4LAU9ZmQgp1Nm/vl-8vXkpHqdFhpHAKdZWG-p13yAEe6YIK-jeGr6eKjo)
enGenes Biotech GmbH,Austrian-based company with proprietary technology for cost-effective recombinant protein production using Escherichia coli or other bacteria.,Fermentation-derived,"Contract manufacturing/processing,Bioprocessing infrastructure and equipment,Ingredients and inputs,Meat,Eggs,Dairy","Cell line development,Host strain development,Bioprocess design","Milk,Cheese,Other dairy,Ingredients,Other meat,Eggs,Pet food,Other",Other,,,Austria,,Vienna,engenes.cc,2014,"Dr. Juergen Mairhofer, Prof. Gerald Striedner",engenes_Logo_final_RGB.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/g4mb0Yvg4G5-k_QT3IKeuw/a0YD4QU7ajuyY56jyUw2NZl-Uj32wcw9BAOAnQ1NniPb4BE4rOyVTHCAeyWzl6QhM04iNHTkx39AZRHUg1Tt1caDAkVaY2JGwvr2sXTlK4pvr3xuzMJ5h8kE9ZKuOOxC/nFBtTOt6xQsDdRmqVmkJtFl_sBN7vVy-w5ESJAxQxsQ)
Enantis,"Czech Republic-based company producing recombinant growth factors (e.g. FGF2) with an improved half-life for cultivated meat, fat or milk applications. ",Cultivated,"Meat,Dairy,Eggs,Ingredients and inputs","Cell culture media,Ingredient optimization","Ingredients,Other",,,,Czech Republic,,Brno,www.enantis.com,2006,"Professors Jiri Damborsky and Zbynek Prokop from Loschmidt Labs, Masaryk University",Enantis_logo_noBackground.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/WIXO4zpfXud3tJswMtU2KA/mwIAuBmdekLBRapxAwbSp5kRdbiW7Us_HRu9I2dfd_evVsqoAaTk4i3wS5iuvHoxfEddAJvicyIGww3JNSgVQOBog7QtoDcapAMX5kbusP-xe-XH6tV5Y4EVCGf9PkTj/k0JbV62B9UmZInJBjOtNiih-4HrAbnCbgjmGZkGyTPY)
Sydsel Africa,"Kenyan-registered company dealing in plant-based proteins, fermentation-based proteins, fermented fats for plant-based proteins, and cultivated Tilapia fish and Nile Perch. ",Plant-based,"Ingredients and inputs,Contract manufacturing/processing,Other","End product formulation and manufacturing,Crop development,Ingredient optimization",Ingredients,,"Soy,Wheat,Mushrooms,Yeast,Butter Bean,Barley,Cashew,Chickpea,Jackfruit,Coconut,Hazelnut,Macadamia,Pea,Peanut,Potato,Rice,Pumpkin,Beans,Banana,Millet,Water,Blend",Africa/Middle East,Kenya,,Nairobi,www.sydselafrica.com,2015,"Dr. Violet Akoth Okech, Samuel Oluoch Helu, Winnie Shakira Adhiambo",Logo-Sydsel-Africa.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/pwUKUMRRSfoSAoJhE0LhrQ/s47OkcEUHjqffZfS0zu5tjyrmWz6cEntyyMP67AEM7T75zH6a4dR8vlHcZIjnJcd9h-n21Fce0LM0mlnS_onYxhfwsINpor0XklD4bjfDVs/2laUOBqYCH4gAA_PiGT0JmZcHuomkElz8lRWMMKy14I)
Planting Hope Company ,"US-based company that develops, launches, and scales uniquely innovative plant-based and planet-friendly food & beverage brands. These include Hope and Sesame® sesame milk, Mozaics™ real veggie chips, and Veggicopia® veggie snacks.",Plant-based,Dairy,End product formulation and manufacturing,Milk,,Other,U.S. and Canada,United States,Illinois ,Chicago,https://plantinghopecompany.com/,2015,,logo-2.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/nDR1jUImqF16aaH7NFQEfQ/oUnl_Bq7yWAyPiDLyiC4ieeoVuoh6PEFPUrws8b7LkIAI5VTnXiEs9NCSoAGOHOu_3W8eiqdaXT_gebgPN1wbn_NyV9-5zM3QId7QRPN1g8/NoxyJW7xG0vSt8vg9kAqHb-gINA_q73eeEWCq4gnVhw)
Royal Spirulina,US based company who specializes in alternative protein from an algae based sources called spirulina. Our vision is to provide alternative healthy protein to the market. ,Plant-based,"Ingredients and inputs,Meat,Dairy,Eggs,Food processing infrastructure and equipment,Contract manufacturing/processing",End product formulation and manufacturing,"Ingredients,Other",,Algae,U.S. and Canada,United States,New Jersey,Sayrveille,RoyalSpirulina.com,2018,Paul Pluta,Genarro-group-main.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/5G6PaKJDQkPg-_grY7Dvug/QdnKJOrOyTDExcz2UDLPbMLIPUFR4ey-2Jqto_jJl-e54neEcr7Sd8A7Qo2_W9hDLV1EgXsz_E650ybvH1oCfJJMocaywpKab955G3WpZGg/hes29jy-Wt-BHphWuf53U7Sd0A5LhCalW7T3Ta8JPN4)
Sound Eats,"U.S.-based company pursuing a science-forward approach to the development of textured, cultivated fish meat.",Cultivated,Seafood,"Cell culture media,Bioprocess design","Whole muscle meat,Ground meat,Ingredients",Fish,,U.S. and Canada,United States,Washington,Seattle,https://www.soundeats.com/,2022,"Nick Geisse, David Mack, Alec Smith, Alessandro Bertero, Jeanot Muster, Greg Potter",Sound Eats Logo.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/oCxJWJDxI5xPpbUbsE13Iw/sl8lFmmrPsRF6IAOBuO_mBJIx2OMHSvH_JWEmyx1k5wx9TCnbKbg_78v3VNSI_LPd1w0V7fpQQ3nQf_hLu3MJh2_15FU3j_qVbnrwxReoFQ/agTNJk7JN2QCc70bio2fLBSzwQy2d7aP6kgrtN0b0dM)
Thrilling Foods,Thrilling Foods makes plant-based bacon people actually want to eat.,Plant-based,Meat,End product formulation and manufacturing,Whole muscle meat,Pork,"Soy,Palm",U.S. and Canada,United States,Oregon,Portland,www.thrillingfoods.com,2021,"David Jones, Jared Hansen",THRILLING!-logo-150x150-white.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/JlXfMylKlCH8rvusafUpNw/-Uwn9pSCiYXmzZnNQ7Nqbd4pLp7GRMY0on41YfR6lZp6FQcAheIQ0FuOSggA-RIDlpG8VMcAN1rGjEjB3C2gU41G0Q0Hv1X8pFhxZF6DH7I4_yE1sz6WrPPVWTxU3YX_/XLnjrKiKi8fkAunPhKTIMyi7x9xUh_aptzDpa69Zhis)
OnamiFoods,"OnamiFoods creates mouth watering algae & plant-based seafood recipes for all engaged gourmets.
We propose alternatives & a tasteful rediscovery of seafood, less the animal & the pollution.",Plant-based,Other,End product formulation and manufacturing,,,,Europe,France,,Rennes,https://www.onamifoods.com/,2021,"Charles Fouquet, Benjamin Devos","210722-OnamiFoods-logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Y5GRfTqYanVMWRi5Hy3Ppg/RkXd4dlSWqBScJNJGU0I55q3E69HL6h6zULrg2EHJs1hWJEOcyROZmfJIjFN42hFyFNDzMVizVbxlg4Cwxr8vBhj9sf9pD89Wm1qbggbizYPV8v_7layy_74kYXWTb3_/yqhz5ERlHiGdeqTIM_B65NjqjKWfOKzRSV4tNiu4bm8),210709-OnamiFoods-logo-vertical copy 500pix.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/B1MYK5mWgICfCpTvLxVx3w/MFVoLs-9_2iJmbe97SrS8K16iLgaf4g8F3JxmiozMekrjDhAtZM8uUvPjKDGcFdHT8VdylLlm4cyawg8SF1_jUOhtQiYRxu39f3UARv1BSa7ZGXdwJvMtnJRMAqhVOpv-bN5uuYXxG86IA6Usfv8Iw/nE6C5_9Xl8cFXdivPxmc_K5V298PSfTBhw44o_enoTE)"
Off-Piste Provisions,Plant-based jerky producer in New Zealand. ,Plant-based,Meat,End product formulation and manufacturing,Other meat,Beef/veal,"Corn,Pea,Sunflower,Other",Australia/New Zealand,New Zealand,,Auckland,https://offpiste.co.nz/,2020,,
Ademi LLC,San Francisco Bay Area (US)-based startup that specialized development and future production of plant-based seafood,Plant-based,"Meat,Seafood","End product formulation and manufacturing,Scaffolding and structure,Ingredient optimization","Other meat,Whole muscle meat","Shellfish,Fish","Pea,Algae",U.S. and Canada,United States,CA,Burlingame,Not available at the moment,2021,"Aidar Kussainov, Aizhan Imangaliyeva",
Vrab Protein,Plant based seafood company developing crab and then other seafood products that target the South East Asian Market. ,Plant-based,"Meat,Seafood",End product formulation and manufacturing,Ground meat,Crab,,Asia Pacific,Singapore,,Singapore ,https://vrabprotein.com/,2021,"Guang Shin Tan, Derek Loh, Vicki Wu ",
Bettermoo(d),Canadian plant-based dairy company ,Plant-based,Dairy,End product formulation and manufacturing,"Milk,Other dairy",Other,Oat,U.S. and Canada,Canada,,Vancouver,https://www.bettermoo.com/,1936,,bettermood.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/ft7FwFdpWc8N5pcuXHMZBQ/7-fNkLIXWWOzBmvU5ThBhbzF0bwELt234QROYS2aDovcurxl5x5SHiiWi83bg6jYyWznIruhR8NQvRFe6WjqsN_8qUfResd8VwBkoUNx2gc/oJp_iNHZeKuGup6AMg1k5xu2rMunB3Owk8potcAQxMU)
"Sundial Foods, Inc. ","California-based company industrializing extrusion-free processing method for for plant-based whole cuts of meat and producing chickpea-based chicken wings with skin, meat, and bone",Plant-based,Meat,End product formulation and manufacturing,"Whole muscle meat,Other meat",Chicken,Chickpea,U.S. and Canada,United States,California,Albany,www.sundialfoods.com,2019,"Jessica Schwabach, Siwen Deng",SundialFoods.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/oTunliGabvuY45zc8gpGhA/8qu0YoXCN9Nqo-oKrfmjT4pTSmXyOpCW3JSKaX3rOXNxaS5a-8zvAoPp_T_5NcACjQake4dA0AqU54p81EsryXREuASOSYkSprrXKiS3E-k/UaPPp3edhVFzFh68TxbyEugjbtT-05nMenbMbVYThrc)
Revo Foods,Austria-based company producing 3D printed plant-based seafoods with realistic structure and high fibrosity,Plant-based,"Meat,Seafood",End product formulation and manufacturing,Whole muscle meat,Fish,"Algae,Pea",Europe,Austria,,Vienna,https://revo-foods.com,2021,"Robin Simsa, Theresa Rothenbücher, Manuel Lachmayr",
Plantruption,Ireland-based company producing plant-based seafood and burgers using locally-harvested seafood and micro algae,Plant-based,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,"Algae,Seaweed",Europe,Ireland,,Dublin,https://www.plantruption.com,2020,Jennifer O'Brien,Plantruption.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/UyGxx_KpE23wmH__3vXh6Q/pNpGUtSUVPD5UYB8ntL2ewYB6BtJTZXpGhfF7-VORVuI5-lYHYROyYj01OU2MpnCVQsKkv0NEg16sHrJMmW4IT0tXtk7Dh9LT0iPmazCTXg/TtMPcCZgLNFne6oWT2ziyt_WvvdMyk1_ayiJdYZEV0g)
Seasogood,Netherlands-based copmany producing plant-based seafood ,Plant-based,"Meat,Seafood",End product formulation and manufacturing,Ground meat,Tuna,Pea,Europe,Netherlands,,Amsterdam,https://seasogood.com,2021,"Pieter Muntendam, Dennis Favier",
Happy Ocean Foods,Germany-based company producing plant-based seafood ,Plant-based,"Meat,Seafood",End product formulation and manufacturing,Whole muscle meat,Shellfish,"Algae,Soy",Europe,Germany,,Munich,https://www.happyoceanfoods.com/,2020,"Robin Drummond, Julian Hallet",HappyOceanFoods.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/gm516pQPzBDcTVCL8848Ng/p_DQfonjl0q-xajJizjyDvg_AF4WiEIZJuC7F5VIb9ZUkdxhYTb5xz2Ko8quRBEXnNe_Qq-2yihYvxtc7H8lGEgswwJ9T03EMFGy3hW-9wE/eSdLxBeLVCEHnMsXIDdUJAFwVsXG5z_F3fM65eWgntU)
Nowadays,California-based company that produces plant-based nuggets emphasizing simplicity and nutritional profile ,Plant-based,Meat,End product formulation and manufacturing,"Ground meat,Whole muscle meat",Chicken,"Wheat,Pea",U.S. and Canada,United States,California,San Francisco,https://eatnowadays.com,2021,"Dominik Grabinski, Max Elder",Nowadays.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/DwxXrzWBpxU4FszMxNZ3sA/DjrV-GjjeMrHDTyg16mx-woa3SiK1nPhEHmdTHbvE6h9a9VhbHmlNb7zdgKVYzOczeoxENUmQwJjZa1hrbQTvVL1cICLaFGuQ8kfUmYl0kg/cNHjBeS416-VDVvn6wwQvymhK58IdCM8fR0J0ScbW58)
Black Sheep Foods,California-based company that produces plant-based mutton emphasizing taste using Branched Chain Fatty Acids,Plant-based,Meat,End product formulation and manufacturing,Ground meat,Mutton/lamb,Pea,U.S. and Canada,United States,California,San Francisco ,blacksheepfoods.com,2019," Ismael Montanez, Sunny Kumar",BlackSheepLogo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/8Tx1pEQowpl1_uoX8jdEeQ/HDuyO_DZJ7KqttAGYfeupNDk7-Z6pjj4qGssuTRqK4xBAm8AEQf1Fk-Q6IMJLH7L3TjuYSW2qCeDMbJGXb0t-W_STyglVNnqJSsrYiEEkBo/6QydRQ26OFg-4nIiscuy_uCVF3iVQAAbrN2upIr6g1A)
Yo! Egg,Israel-based company producing plant-based eggs with yolk and egg white,Plant-based,Eggs,End product formulation and manufacturing,Eggs,,,Africa/Middle East,Israel,,Haifa District,https://www.yo-egg.com,2021,"Eran Groner, Nisim Ben Cohen, Yosefa Ben Cohen",yo-egg.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/7UTZMxjcz39OrvoVXYLRHg/hx1dkNMgT1oCSSbl9moQukCdO-lvmQz90_zJcZwF3iEN6uk_kpZls99o1YA86L4E-JxmiQFNwcH9HQzWpobZ72djdOr6S7HEWJLJNSAx280/uiBM6bOajTV4EPkaJj7Ji93pkiO8qtvBSOKn0Y3djpc)
Perfeggt (Lovely Day Foods GmbH),German-based startup making animal-free liquid eggs using fava beans. ,Plant-based,Eggs,End product formulation and manufacturing,Eggs,,Fava bean,Europe,Germany,,Berlin,https://www.perfeggt.co/,2021,Tanja Bogumil,
NFA Foods,California-based company that produces plant-based egg and meat products,Plant-based,"Meat,Eggs,Seafood",End product formulation and manufacturing,"Ground meat,Eggs","Shellfish,Pork",,U.S. and Canada,United States,California,San Diego ,https://www.nfafoods.com,2019,,NFALOGO.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/wQeeKuEb4qm8BySN28lYZw/0fn3hKUUzYHGx73mAP5W9yLSCHdwnc56HN_4wL3_y0EhO37ocv-xzlcL442rE0POVkNyjAZlS6QnLCUVol9GkerGLXtLHHGn3ANUhtwuOZo/R2cTPGWKV3NzIBH9cyN3ALqwHrRSlieXMCe0OqyLhI8)
Norwegian Mycelium (NoMy),Norwegian company producing foods and materials from mycelium (the root-like filaments of fungi),Biomass fermentation,"Ingredients and inputs,Meat","End product formulation and manufacturing,Bioprocess design",Other meat,,Mushrooms,Europe,Norway,,Oslo,https://www.nomy.no,2020,"Ingrid Dynna, David Andrew Quist",NoMyLogo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/HBTd3Tt_rlGPNLVjWfVjTw/EgZt8jyp1bA_8dESADVVG6NKu8oT84M8HxAvUj58khFUS2I9z5cYU0ZD5OGDD8Xsg8oKhfDGmL8ifbJo5MB62IgwuVDIVbV_i76As3DZ3kE/ujofLCQnQbH7wZ1XH0ElXJ0TVrA5OcE9Bt8NVF6Vwxg)
